offense,number,cleared,cleared_under_18,month,year
Aggravated Assault Total,392,230,6,10,2017
"4e. Other Assaults - Simple, Not Aggravated","2,342","1,672",188,10,2017
5. Burglary Total,895,143,11,10,2017
a. Forcible Entry,467,78,5,10,2017
b. Unlawful Entry - No Force,336,47,6,10,2017
c. Attempted Forcible Entry,92,18,,10,2017
6. Larceny - Theft Total,"4,415",834,77,10,2017
7. Motor Vehicle Theft Total,639,68,18,10,2017
a. Autos,561,59,16,10,2017
b. Trucks and Buses,24,3,1,10,2017
c. Other Vehicles,54,6,1,10,2017
8. Arson,32,9,2,10,2017
9. Human Trafficking - Commercial Sex Act,,,,10,2017
10. Human Trafficking - Involuntary Servitude,,,,10,2017
Grand Total,"9,128","3,052",311,10,2017
Index Violent Crime,804,325,15,10,2017
Index Property Crime,"5,981","1,054",108,10,2017
Part I Crime (Index Crime),"6,785","1,379",123,10,2017
1. Criminal Homicide,7,5,,11,2017
a. Murder and Nonnegligent Homicide,5,5,,11,2017
b. Manslaughter by Negligence,2,,,11,2017
2. Forcible Rape Total,65,13,2,11,2017
a. Rape by Force,64,13,2,11,2017
b. Attempts to commit Forcible Rape,1,,,11,2017
3. Robbery Total,271,81,6,11,2017
a. Firearm,108,25,4,11,2017
b. Knife or Cutting Instrument,34,15,1,11,2017
c. Other Dangerous Weapon,21,6,1,11,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",108,35,,11,2017
4. Assault Total,"2,424","1,752",192,11,2017
a. Firearm,45,24,3,11,2017
b. Knife or Cutting Instrument,76,53,1,11,2017
c. Other Dangerous Weapon,120,81,8,11,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",81,69,4,11,2017
Aggravated Assault Total,322,227,16,11,2017
"4e. Other Assaults - Simple, Not Aggravated","2,102","1,525",176,11,2017
5. Burglary Total,779,129,12,11,2017
a. Forcible Entry,451,74,3,11,2017
b. Unlawful Entry - No Force,255,45,6,11,2017
c. Attempted Forcible Entry,73,10,3,11,2017
6. Larceny - Theft Total,"3,916",765,60,11,2017
7. Motor Vehicle Theft Total,586,63,18,11,2017
a. Autos,549,56,15,11,2017
b. Trucks and Buses,7,4,1,11,2017
c. Other Vehicles,30,3,2,11,2017
8. Arson,18,1,1,11,2017
9. Human Trafficking - Commercial Sex Act,1,,,11,2017
10. Human Trafficking - Involuntary Servitude,1,1,,11,2017
Grand Total,"8,068","2,810",291,11,2017
Index Violent Crime,663,326,24,11,2017
Index Property Crime,"5,299",958,91,11,2017
Part I Crime (Index Crime),"5,962","1,284",115,11,2017
1. Criminal Homicide,15,5,,12,2017
a. Murder and Nonnegligent Homicide,15,4,,12,2017
b. Manslaughter by Negligence,,1,,12,2017
2. Forcible Rape Total,64,22,2,12,2017
a. Rape by Force,61,21,2,12,2017
b. Attempts to commit Forcible Rape,3,1,,12,2017
3. Robbery Total,265,87,8,12,2017
a. Firearm,107,22,1,12,2017
b. Knife or Cutting Instrument,25,17,1,12,2017
c. Other Dangerous Weapon,27,11,1,12,2017
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",106,37,5,12,2017
4. Assault Total,"2,379","1,674",169,12,2017
a. Firearm,54,11,,12,2017
b. Knife or Cutting Instrument,78,54,4,12,2017
c. Other Dangerous Weapon,126,74,4,12,2017
"d. Hands, Fists, Feet, Etc. - Aggravated injury",70,56,6,12,2017
Aggravated Assault Total,328,195,14,12,2017
"4e. Other Assaults - Simple, Not Aggravated","2,051","1,479",155,12,2017
5. Burglary Total,609,110,5,12,2017
a. Forcible Entry,358,66,1,12,2017
b. Unlawful Entry - No Force,186,37,3,12,2017
c. Attempted Forcible Entry,65,7,1,12,2017
6. Larceny - Theft Total,"3,722",887,81,12,2017
7. Motor Vehicle Theft Total,629,70,18,12,2017
a. Autos,591,64,16,12,2017
b. Trucks and Buses,12,2,1,12,2017
c. Other Vehicles,26,4,1,12,2017
8. Arson,12,5,1,12,2017
9. Human Trafficking - Commercial Sex Act,,,,12,2017
10. Human Trafficking - Involuntary Servitude,,,,12,2017
Grand Total,"7,695","2,860",284,12,2017
Index Violent Crime,672,308,24,12,2017
Index Property Crime,"4,972","1,072",105,12,2017
Part I Crime (Index Crime),"5,644","1,380",129,12,2017
1. Criminal Homicide,10,4,,1,2018
a. Murder and Nonnegligent Homicide,10,4,,1,2018
b. Manslaughter by Negligence,,,,1,2018
2. Forcible Rape Total,70,19,3,1,2018
a. Rape by Force,65,17,3,1,2018
b. Attempts to commit Forcible Rape,5,2,,1,2018
3. Robbery Total,215,77,4,1,2018
a. Firearm,84,22,1,1,2018
b. Knife or Cutting Instrument,29,13,,1,2018
c. Other Dangerous Weapon,14,6,,1,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",88,36,3,1,2018
4. Assault Total,"2,454","1,819",153,1,2018
a. Firearm,48,16,1,1,2018
b. Knife or Cutting Instrument,75,57,4,1,2018
c. Other Dangerous Weapon,119,90,1,1,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",85,71,8,1,2018
Aggravated Assault Total,327,234,14,1,2018
"4e. Other Assaults - Simple, Not Aggravated","2,127","1,585",139,1,2018
5. Burglary Total,659,146,7,1,2018
a. Forcible Entry,404,74,3,1,2018
b. Unlawful Entry - No Force,195,54,3,1,2018
c. Attempted Forcible Entry,60,18,1,1,2018
6. Larceny - Theft Total,"3,522",755,39,1,2018
7. Motor Vehicle Theft Total,658,78,27,1,2018
a. Autos,627,73,26,1,2018
b. Trucks and Buses,14,3,,1,2018
c. Other Vehicles,17,2,1,1,2018
8. Arson,25,5,2,1,2018
9. Human Trafficking - Commercial Sex Act,5,2,,1,2018
10. Human Trafficking - Involuntary Servitude,,,,1,2018
Grand Total,"7,618","2,905",235,1,2018
Index Violent Crime,622,334,21,1,2018
Index Property Crime,"4,864",984,75,1,2018
Part I Crime (Index Crime),"5,486","1,318",96,1,2018
1. Criminal Homicide,8,5,,2,2018
a. Murder and Nonnegligent Homicide,8,4,,2,2018
b. Manslaughter by Negligence,,1,,2,2018
2. Forcible Rape Total,65,29,9,2,2018
a. Rape by Force,61,28,9,2,2018
b. Attempts to commit Forcible Rape,4,1,,2,2018
3. Robbery Total,152,85,8,2,2018
a. Firearm,41,24,4,2,2018
b. Knife or Cutting Instrument,22,18,1,2,2018
c. Other Dangerous Weapon,12,7,,2,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",77,36,3,2,2018
4. Assault Total,"2,188","1,614",163,2,2018
a. Firearm,54,20,4,2,2018
b. Knife or Cutting Instrument,56,43,4,2,2018
c. Other Dangerous Weapon,102,66,2,2,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",63,51,3,2,2018
Aggravated Assault Total,275,180,13,2,2018
"4e. Other Assaults - Simple, Not Aggravated","1,913","1,434",150,2,2018
5. Burglary Total,536,109,4,2,2018
a. Forcible Entry,300,61,1,2,2018
b. Unlawful Entry - No Force,169,40,3,2,2018
c. Attempted Forcible Entry,67,8,,2,2018
6. Larceny - Theft Total,"3,246",729,49,2,2018
7. Motor Vehicle Theft Total,503,73,14,2,2018
a. Autos,473,69,14,2,2018
b. Trucks and Buses,6,,,2,2018
c. Other Vehicles,24,4,,2,2018
8. Arson,18,5,1,2,2018
9. Human Trafficking - Commercial Sex Act,1,,,2,2018
10. Human Trafficking - Involuntary Servitude,,,,2,2018
Grand Total,"6,717","2,649",248,2,2018
Index Violent Crime,500,298,30,2,2018
Index Property Crime,"4,303",916,68,2,2018
Part I Crime (Index Crime),"4,803","1,214",98,2,2018
1. Criminal Homicide,4,6,,3,2018
a. Murder and Nonnegligent Homicide,4,4,,3,2018
b. Manslaughter by Negligence,,2,,3,2018
2. Forcible Rape Total,66,29,3,3,2018
a. Rape by Force,63,29,3,3,2018
b. Attempts to commit Forcible Rape,3,,,3,2018
3. Robbery Total,168,70,6,3,2018
a. Firearm,41,26,3,3,2018
b. Knife or Cutting Instrument,25,8,,3,2018
c. Other Dangerous Weapon,23,10,2,3,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",79,26,1,3,2018
4. Assault Total,"2,522","1,841",172,3,2018
a. Firearm,57,20,,3,2018
b. Knife or Cutting Instrument,94,72,9,3,2018
c. Other Dangerous Weapon,115,86,6,3,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",74,55,2,3,2018
Aggravated Assault Total,340,233,17,3,2018
"4e. Other Assaults - Simple, Not Aggravated","2,182","1,608",155,3,2018
5. Burglary Total,556,117,8,3,2018
a. Forcible Entry,279,63,3,3,2018
b. Unlawful Entry - No Force,215,45,5,3,2018
c. Attempted Forcible Entry,62,9,,3,2018
6. Larceny - Theft Total,"3,308",769,47,3,2018
7. Motor Vehicle Theft Total,555,48,12,3,2018
a. Autos,520,47,12,3,2018
b. Trucks and Buses,8,1,,3,2018
c. Other Vehicles,27,,,3,2018
8. Arson,14,5,2,3,2018
9. Human Trafficking - Commercial Sex Act,,,,3,2018
10. Human Trafficking - Involuntary Servitude,,,,3,2018
Grand Total,"7,193","2,885",250,3,2018
Index Violent Crime,578,336,26,3,2018
Index Property Crime,"4,433",939,69,3,2018
Part I Crime (Index Crime),"5,011","1,275",95,3,2018
1. Criminal Homicide,8,3,1,4,2018
a. Murder and Nonnegligent Homicide,6,3,1,4,2018
b. Manslaughter by Negligence,2,,,4,2018
2. Forcible Rape Total,63,20,3,4,2018
a. Rape by Force,63,20,3,4,2018
b. Attempts to commit Forcible Rape,,,,4,2018
3. Robbery Total,159,67,9,4,2018
a. Firearm,42,11,2,4,2018
b. Knife or Cutting Instrument,22,11,2,4,2018
c. Other Dangerous Weapon,19,5,,4,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",76,40,5,4,2018
4. Assault Total,"2,638","1,866",151,4,2018
a. Firearm,58,19,1,4,2018
b. Knife or Cutting Instrument,81,67,4,4,2018
c. Other Dangerous Weapon,164,103,9,4,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",110,81,4,4,2018
Aggravated Assault Total,413,270,18,4,2018
"4e. Other Assaults - Simple, Not Aggravated","2,225","1,596",133,4,2018
5. Burglary Total,603,105,3,4,2018
a. Forcible Entry,354,67,1,4,2018
b. Unlawful Entry - No Force,206,33,1,4,2018
c. Attempted Forcible Entry,43,5,1,4,2018
6. Larceny - Theft Total,"3,338",787,40,4,2018
7. Motor Vehicle Theft Total,543,58,10,4,2018
a. Autos,492,52,10,4,2018
b. Trucks and Buses,16,2,,4,2018
c. Other Vehicles,35,4,,4,2018
8. Arson,23,7,4,4,2018
9. Human Trafficking - Commercial Sex Act,,,,4,2018
10. Human Trafficking - Involuntary Servitude,,,,4,2018
Grand Total,"7,375","2,913",221,4,2018
Index Violent Crime,641,360,31,4,2018
Index Property Crime,"4,507",957,57,4,2018
Part I Crime (Index Crime),"5,148","1,317",88,4,2018
1. Criminal Homicide,11,6,,5,2018
a. Murder and Nonnegligent Homicide,10,6,,5,2018
b. Manslaughter by Negligence,1,,,5,2018
2. Forcible Rape Total,78,19,,5,2018
a. Rape by Force,77,18,,5,2018
b. Attempts to commit Forcible Rape,1,1,,5,2018
3. Robbery Total,165,64,8,5,2018
a. Firearm,43,12,4,5,2018
b. Knife or Cutting Instrument,17,10,1,5,2018
c. Other Dangerous Weapon,17,9,,5,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",88,33,3,5,2018
4. Assault Total,"2,621","1,926",178,5,2018
a. Firearm,55,12,1,5,2018
b. Knife or Cutting Instrument,76,52,2,5,2018
c. Other Dangerous Weapon,138,102,9,5,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",97,73,4,5,2018
Aggravated Assault Total,366,239,16,5,2018
"4e. Other Assaults - Simple, Not Aggravated","2,255","1,687",162,5,2018
5. Burglary Total,616,113,4,5,2018
a. Forcible Entry,332,66,1,5,2018
b. Unlawful Entry - No Force,219,38,2,5,2018
c. Attempted Forcible Entry,65,9,1,5,2018
6. Larceny - Theft Total,"3,701",790,54,5,2018
7. Motor Vehicle Theft Total,613,55,14,5,2018
a. Autos,557,52,14,5,2018
b. Trucks and Buses,12,1,,5,2018
c. Other Vehicles,44,2,,5,2018
8. Arson,14,6,4,5,2018
9. Human Trafficking - Commercial Sex Act,,,,5,2018
10. Human Trafficking - Involuntary Servitude,,,,5,2018
Grand Total,"7,819","2,979",262,5,2018
Index Violent Crime,619,328,24,5,2018
Index Property Crime,"4,944",964,76,5,2018
Part I Crime (Index Crime),"5,563","1,292",100,5,2018
1. Criminal Homicide,9,8,,6,2018
a. Murder and Nonnegligent Homicide,9,5,,6,2018
b. Manslaughter by Negligence,,3,,6,2018
2. Forcible Rape Total,80,10,2,6,2018
a. Rape by Force,76,10,2,6,2018
b. Attempts to commit Forcible Rape,4,,,6,2018
3. Robbery Total,187,56,10,6,2018
a. Firearm,46,14,5,6,2018
b. Knife or Cutting Instrument,19,4,1,6,2018
c. Other Dangerous Weapon,18,6,,6,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",104,32,4,6,2018
4. Assault Total,"2,756","1,772",171,6,2018
a. Firearm,71,31,1,6,2018
b. Knife or Cutting Instrument,90,53,,6,2018
c. Other Dangerous Weapon,130,87,10,6,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",80,72,4,6,2018
Aggravated Assault Total,371,243,15,6,2018
"4e. Other Assaults - Simple, Not Aggravated","2,385","1,529",156,6,2018
5. Burglary Total,625,122,17,6,2018
a. Forcible Entry,340,59,9,6,2018
b. Unlawful Entry - No Force,227,56,8,6,2018
c. Attempted Forcible Entry,58,7,,6,2018
6. Larceny - Theft Total,"4,312",700,57,6,2018
7. Motor Vehicle Theft Total,660,71,17,6,2018
a. Autos,586,66,16,6,2018
b. Trucks and Buses,11,1,,6,2018
c. Other Vehicles,63,4,1,6,2018
8. Arson,24,4,,6,2018
9. Human Trafficking - Commercial Sex Act,1,,,6,2018
10. Human Trafficking - Involuntary Servitude,,,,6,2018
Grand Total,"8,654","2,743",274,6,2018
Index Violent Crime,647,314,27,6,2018
Index Property Crime,"5,621",897,91,6,2018
Part I Crime (Index Crime),"6,268","1,211",118,6,2018
1. Criminal Homicide,5,7,1,7,2018
a. Murder and Nonnegligent Homicide,2,6,1,7,2018
b. Manslaughter by Negligence,3,1,,7,2018
2. Forcible Rape Total,78,18,1,7,2018
a. Rape by Force,76,17,1,7,2018
b. Attempts to commit Forcible Rape,2,1,,7,2018
3. Robbery Total,198,55,7,7,2018
a. Firearm,65,12,5,7,2018
b. Knife or Cutting Instrument,29,12,,7,2018
c. Other Dangerous Weapon,17,3,,7,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",87,28,2,7,2018
4. Assault Total,"2,723","1,901",100,7,2018
a. Firearm,67,22,1,7,2018
b. Knife or Cutting Instrument,107,68,1,7,2018
c. Other Dangerous Weapon,132,86,4,7,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",98,71,3,7,2018
Aggravated Assault Total,404,247,9,7,2018
"4e. Other Assaults - Simple, Not Aggravated","2,319","1,654",91,7,2018
5. Burglary Total,768,128,12,7,2018
a. Forcible Entry,428,71,5,7,2018
b. Unlawful Entry - No Force,266,48,7,7,2018
c. Attempted Forcible Entry,74,9,,7,2018
6. Larceny - Theft Total,"4,229",724,46,7,2018
7. Motor Vehicle Theft Total,750,69,25,7,2018
a. Autos,650,64,21,7,2018
b. Trucks and Buses,18,3,3,7,2018
c. Other Vehicles,82,2,1,7,2018
8. Arson,25,2,1,7,2018
9. Human Trafficking - Commercial Sex Act,,,,7,2018
10. Human Trafficking - Involuntary Servitude,,,,7,2018
Grand Total,"8,776","2,904",193,7,2018
Index Violent Crime,682,326,18,7,2018
Index Property Crime,"5,772",923,84,7,2018
Part I Crime (Index Crime),"6,454","1,249",102,7,2018
1. Criminal Homicide,6,4,,8,2018
a. Murder and Nonnegligent Homicide,5,4,,8,2018
b. Manslaughter by Negligence,1,,,8,2018
2. Forcible Rape Total,77,27,3,8,2018
a. Rape by Force,74,27,3,8,2018
b. Attempts to commit Forcible Rape,3,,,8,2018
3. Robbery Total,175,62,7,8,2018
a. Firearm,53,18,1,8,2018
b. Knife or Cutting Instrument,18,6,2,8,2018
c. Other Dangerous Weapon,20,10,1,8,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",84,28,3,8,2018
4. Assault Total,"2,787","1,912",99,8,2018
a. Firearm,58,18,2,8,2018
b. Knife or Cutting Instrument,97,63,3,8,2018
c. Other Dangerous Weapon,135,91,5,8,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",93,73,4,8,2018
Aggravated Assault Total,383,245,14,8,2018
"4e. Other Assaults - Simple, Not Aggravated","2,404","1,667",85,8,2018
5. Burglary Total,734,120,9,8,2018
a. Forcible Entry,388,63,4,8,2018
b. Unlawful Entry - No Force,240,44,3,8,2018
c. Attempted Forcible Entry,106,13,2,8,2018
6. Larceny - Theft Total,"4,122",776,46,8,2018
7. Motor Vehicle Theft Total,650,82,19,8,2018
a. Autos,561,73,18,8,2018
b. Trucks and Buses,13,1,,8,2018
c. Other Vehicles,76,8,1,8,2018
8. Arson,19,4,,8,2018
9. Human Trafficking - Commercial Sex Act,,,,8,2018
10. Human Trafficking - Involuntary Servitude,,,,8,2018
Grand Total,"8,570","2,987",183,8,2018
Index Violent Crime,640,338,24,8,2018
Index Property Crime,"5,525",982,74,8,2018
Part I Crime (Index Crime),"6,165","1,320",98,8,2018
1. Criminal Homicide,11,6,1,9,2018
a. Murder and Nonnegligent Homicide,11,5,1,9,2018
b. Manslaughter by Negligence,,1,,9,2018
2. Forcible Rape Total,87,27,1,9,2018
a. Rape by Force,86,27,1,9,2018
b. Attempts to commit Forcible Rape,1,,,9,2018
3. Robbery Total,184,45,3,9,2018
a. Firearm,47,10,,9,2018
b. Knife or Cutting Instrument,25,2,,9,2018
c. Other Dangerous Weapon,23,2,,9,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",89,31,3,9,2018
4. Assault Total,"2,644","1,771",153,9,2018
a. Firearm,64,29,1,9,2018
b. Knife or Cutting Instrument,81,50,4,9,2018
c. Other Dangerous Weapon,142,92,2,9,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",101,73,9,9,2018
Aggravated Assault Total,388,244,16,9,2018
"4e. Other Assaults - Simple, Not Aggravated","2,256","1,527",137,9,2018
5. Burglary Total,665,136,9,9,2018
a. Forcible Entry,358,70,5,9,2018
b. Unlawful Entry - No Force,242,49,3,9,2018
c. Attempted Forcible Entry,65,17,1,9,2018
6. Larceny - Theft Total,"3,696",720,54,9,2018
7. Motor Vehicle Theft Total,637,56,18,9,2018
a. Autos,575,51,16,9,2018
b. Trucks and Buses,16,1,,9,2018
c. Other Vehicles,46,4,2,9,2018
8. Arson,13,3,1,9,2018
9. Human Trafficking - Commercial Sex Act,,,,9,2018
10. Human Trafficking - Involuntary Servitude,,,,9,2018
Grand Total,"7,937","2,764",240,9,2018
Index Violent Crime,670,321,21,9,2018
Index Property Crime,"5,011",915,82,9,2018
Part I Crime (Index Crime),"5,681","1,236",103,9,2018
1. Criminal Homicide,6,5,,10,2018
a. Murder and Nonnegligent Homicide,6,3,,10,2018
b. Manslaughter by Negligence,,2,,10,2018
2. Forcible Rape Total,84,25,3,10,2018
a. Rape by Force,82,25,3,10,2018
b. Attempts to commit Forcible Rape,2,,,10,2018
3. Robbery Total,202,76,7,10,2018
a. Firearm,66,23,4,10,2018
b. Knife or Cutting Instrument,27,17,,10,2018
c. Other Dangerous Weapon,19,8,2,10,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",90,28,1,10,2018
4. Assault Total,"2,624","1,716",210,10,2018
a. Firearm,61,24,2,10,2018
b. Knife or Cutting Instrument,88,69,5,10,2018
c. Other Dangerous Weapon,124,73,6,10,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",93,68,6,10,2018
Aggravated Assault Total,366,234,19,10,2018
"4e. Other Assaults - Simple, Not Aggravated","2,258","1,482",191,10,2018
5. Burglary Total,706,123,4,10,2018
a. Forcible Entry,408,66,1,10,2018
b. Unlawful Entry - No Force,217,43,3,10,2018
c. Attempted Forcible Entry,81,14,,10,2018
6. Larceny - Theft Total,"3,846",711,29,10,2018
7. Motor Vehicle Theft Total,591,65,17,10,2018
a. Autos,525,59,15,10,2018
b. Trucks and Buses,20,2,,10,2018
c. Other Vehicles,46,4,2,10,2018
8. Arson,17,3,,10,2018
9. Human Trafficking - Commercial Sex Act,1,1,,10,2018
10. Human Trafficking - Involuntary Servitude,,,,10,2018
Grand Total,"8,077","2,725",270,10,2018
Index Violent Crime,658,338,29,10,2018
Index Property Crime,"5,160",902,50,10,2018
Part I Crime (Index Crime),"5,818","1,240",79,10,2018
1. Criminal Homicide,7,4,,11,2018
a. Murder and Nonnegligent Homicide,7,4,,11,2018
b. Manslaughter by Negligence,,,,11,2018
2. Forcible Rape Total,62,21,4,11,2018
a. Rape by Force,62,18,3,11,2018
b. Attempts to commit Forcible Rape,,3,1,11,2018
3. Robbery Total,192,53,9,11,2018
a. Firearm,54,9,2,11,2018
b. Knife or Cutting Instrument,23,9,1,11,2018
c. Other Dangerous Weapon,25,10,2,11,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",90,25,4,11,2018
4. Assault Total,"2,415","1,614",184,11,2018
a. Firearm,42,27,,11,2018
b. Knife or Cutting Instrument,85,65,7,11,2018
c. Other Dangerous Weapon,109,59,1,11,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",92,67,6,11,2018
Aggravated Assault Total,328,218,14,11,2018
"4e. Other Assaults - Simple, Not Aggravated","2,087","1,396",170,11,2018
5. Burglary Total,706,103,9,11,2018
a. Forcible Entry,429,50,3,11,2018
b. Unlawful Entry - No Force,215,41,5,11,2018
c. Attempted Forcible Entry,62,12,1,11,2018
6. Larceny - Theft Total,"3,543",743,37,11,2018
7. Motor Vehicle Theft Total,618,42,13,11,2018
a. Autos,586,39,12,11,2018
b. Trucks and Buses,12,2,1,11,2018
c. Other Vehicles,20,1,,11,2018
8. Arson,20,6,2,11,2018
9. Human Trafficking - Commercial Sex Act,,,,11,2018
10. Human Trafficking - Involuntary Servitude,,,,11,2018
Grand Total,"7,563","2,586",258,11,2018
Index Violent Crime,589,296,27,11,2018
Index Property Crime,"4,887",894,61,11,2018
Part I Crime (Index Crime),"5,476","1,190",88,11,2018
1. Criminal Homicide,9,9,2,12,2018
a. Murder and Nonnegligent Homicide,9,8,2,12,2018
b. Manslaughter by Negligence,,1,,12,2018
2. Forcible Rape Total,67,29,3,12,2018
a. Rape by Force,66,29,3,12,2018
b. Attempts to commit Forcible Rape,1,,,12,2018
3. Robbery Total,204,41,2,12,2018
a. Firearm,70,16,,12,2018
b. Knife or Cutting Instrument,24,8,,12,2018
c. Other Dangerous Weapon,25,5,2,12,2018
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",85,12,,12,2018
4. Assault Total,"2,300","1,485",124,12,2018
a. Firearm,57,17,4,12,2018
b. Knife or Cutting Instrument,90,53,4,12,2018
c. Other Dangerous Weapon,98,55,,12,2018
"d. Hands, Fists, Feet, Etc. - Aggravated injury",79,57,,12,2018
Aggravated Assault Total,324,182,8,12,2018
"4e. Other Assaults - Simple, Not Aggravated","1,976","1,303",116,12,2018
5. Burglary Total,815,94,7,12,2018
a. Forcible Entry,531,54,2,12,2018
b. Unlawful Entry - No Force,195,27,4,12,2018
c. Attempted Forcible Entry,89,13,1,12,2018
6. Larceny - Theft Total,"3,716",751,39,12,2018
7. Motor Vehicle Theft Total,612,82,22,12,2018
a. Autos,583,78,21,12,2018
b. Trucks and Buses,12,,,12,2018
c. Other Vehicles,17,4,1,12,2018
8. Arson,10,1,,12,2018
9. Human Trafficking - Commercial Sex Act,1,1,,12,2018
10. Human Trafficking - Involuntary Servitude,1,,,12,2018
Grand Total,"7,735","2,493",199,12,2018
Index Violent Crime,604,260,15,12,2018
Index Property Crime,"5,153",928,68,12,2018
Part I Crime (Index Crime),"5,757","1,188",83,12,2018
1. Criminal Homicide,16,6,,1,2019
a. Murder and Nonnegligent Homicide,14,6,,1,2019
b. Manslaughter by Negligence,2,,,1,2019
2. Forcible Rape Total,63,23,4,1,2019
a. Rape by Force,60,21,4,1,2019
b. Attempts to commit Forcible Rape,3,2,,1,2019
3. Robbery Total,169,70,8,1,2019
a. Firearm,58,22,3,1,2019
b. Knife or Cutting Instrument,20,11,1,1,2019
c. Other Dangerous Weapon,29,7,,1,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",62,30,4,1,2019
4. Assault Total,"2,341","1,623",137,1,2019
a. Firearm,54,17,,1,2019
b. Knife or Cutting Instrument,64,41,,1,2019
c. Other Dangerous Weapon,77,55,2,1,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",74,56,8,1,2019
Aggravated Assault Total,269,169,10,1,2019
"4e. Other Assaults - Simple, Not Aggravated","2,072","1,454",127,1,2019
5. Burglary Total,546,115,4,1,2019
a. Forcible Entry,338,71,2,1,2019
b. Unlawful Entry - No Force,148,34,2,1,2019
c. Attempted Forcible Entry,60,10,,1,2019
6. Larceny - Theft Total,"2,917",716,38,1,2019
7. Motor Vehicle Theft Total,530,80,29,1,2019
a. Autos,512,77,28,1,2019
b. Trucks and Buses,3,2,,1,2019
c. Other Vehicles,15,1,1,1,2019
8. Arson,19,2,2,1,2019
9. Human Trafficking - Commercial Sex Act,,,,1,2019
10. Human Trafficking - Involuntary Servitude,,,,1,2019
Grand Total,"6,601","2,635",222,1,2019
Index Violent Crime,515,268,22,1,2019
Index Property Crime,"4,012",913,73,1,2019
Part I Crime (Index Crime),"4,527","1,181",95,1,2019
1. Criminal Homicide,11,9,,2,2019
a. Murder and Nonnegligent Homicide,8,8,,2,2019
b. Manslaughter by Negligence,3,1,,2,2019
2. Forcible Rape Total,54,22,3,2,2019
a. Rape by Force,53,21,3,2,2019
b. Attempts to commit Forcible Rape,1,1,,2,2019
3. Robbery Total,96,52,7,2,2019
a. Firearm,39,13,,2,2019
b. Knife or Cutting Instrument,12,6,1,2,2019
c. Other Dangerous Weapon,9,6,2,2,2019
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",36,27,4,2,2019
4. Assault Total,"2,014","1,436",143,2,2019
a. Firearm,47,19,2,2,2019
b. Knife or Cutting Instrument,52,40,2,2,2019
c. Other Dangerous Weapon,88,59,,2,2019
"d. Hands, Fists, Feet, Etc. - Aggravated injury",57,53,2,2,2019
Aggravated Assault Total,244,171,6,2,2019
"4e. Other Assaults - Simple, Not Aggravated","1,770","1,265",137,2,2019
5. Burglary Total,454,85,7,2,2019
a. Forcible Entry,253,46,3,2,2019
b. Unlawful Entry - No Force,142,26,4,2,2019
c. Attempted Forcible Entry,59,13,,2,2019
6. Larceny - Theft Total,"2,840",620,33,2,2019
7. Motor Vehicle Theft Total,436,68,22,2,2019
a. Autos,414,64,21,2,2019
b. Trucks and Buses,6,3,,2,2019
c. Other Vehicles,16,1,1,2,2019
8. Arson,16,7,1,2,2019
9. Human Trafficking - Commercial Sex Act,1,,,2,2019
10. Human Trafficking - Involuntary Servitude,,,,2,2019
Grand Total,"5,922","2,299",216,2,2019
Index Violent Crime,402,253,16,2,2019
Index Property Crime,"3,746",780,63,2,2019
Part I Crime (Index Crime),"4,148","1,033",79,2,2019
1. Criminal Homicide,9,6,,3,2019
a. Murder and Nonnegligent Homicide,7,5,,3,2019
b. Manslaughter by Negligence,2,1,,3,2019
2. Forcible Rape Total,72,21,4,3,2019
a. Rape by Force,68,20,4,3,2019
b. Attempts to commit Forcible Rape,4,1,,3,2019
3. Robbery Total,108,55,5,3,2019
a. Firearm,34,10,1,3,2019
b. Knife or Cutting Instrument,12,5,1,3,2019
c. Other Dangerous Weapon,7,10,,3,2019
